customer_id,customer_name,city,state,customer_segment
C0043,Aarav Bhat,Jaipur,Rajasthan,Consumer
C0044,Varun Kapoor,Delhi,Delhi,Consumer
C0045,Kavya Patel,Chennai,Tamil Nadu,Corporate
C0046,Amit Patel,Delhi,Delhi,Consumer
C0047,Sneha Reddy,Kolkata,West Bengal,Corporate
C0048,Priya Sharma,Chennai,Tamil Nadu,Corporate
C0049,Neha Gupta,Jaipur,Rajasthan,Consumer
C0050,Kiran Reddy,Kolkata,West Bengal,Consumer
C0051,Isha Rao,Mumbai,Maharashtra,Corporate
C0052,Varun Bhat,Hyderabad,Telangana,Consumer
C0053,Ananya Joshi,Jaipur,Rajasthan,Corporate
C0054,Aarav Iyer,Chandigarh,Chandigarh,Consumer
C0055,Kavya Iyer,Mumbai,Maharashtra,Consumer
C0056,Neha Sharma,Kochi,Kerala,Corporate
C0057,Rahul Das,Jaipur,Rajasthan,Small Business
C0058,Neha Kumar,Kochi,Kerala,Consumer
C0059,Nikhil Singh,Chennai,Tamil Nadu,Corporate
C0060,Rahul Reddy,Mumbai,Maharashtra,Consumer
C0061,Aarav Joshi,Hyderabad,Telangana,Corporate
C0062,Nikhil Das,Chandigarh,Chandigarh,Corporate
C0063,Ananya Reddy,Chandigarh,Chandigarh,Consumer
C0064,Meera Das,Kolkata,West Bengal,Consumer
C0065,Meera Verma,Chandigarh,Chandigarh,Corporate
C0066,Pooja Nair,Ahmedabad,Gujarat,Consumer
C0067,Riya Singh,Delhi,Delhi,Corporate
C0068,Meera Kapoor,Bengaluru,Karnataka,Consumer
C0069,Pooja Patel,Hyderabad,Telangana,Small Business
C0070,Kiran Rao,Mumbai,Maharashtra,Corporate
C0071,Kiran Sharma,Ahmedabad,Gujarat,Small Business
C0072,Varun Gupta,Hyderabad,Telangana,Consumer
C0073,Varun Nair,Mumbai,Maharashtra,Corporate
C0074,Kavya Patel,Pune,Maharashtra,Corporate
C0075,Aarav Kapoor,Pune,Maharashtra,Consumer
C0076,Arjun Nair,Kochi,Kerala,Consumer
C0077,Vikram Rao,Hyderabad,Telangana,Consumer
C0078,Ananya Reddy,Pune,Maharashtra,Corporate
C0079,Divya Nair,Mumbai,Maharashtra,Consumer
C0080,Arjun Singh,Kochi,Kerala,Consumer
C0081,Sneha Bhat,Chandigarh,Chandigarh,Corporate
C0082,Rohan Patel,Mumbai,Maharashtra,Consumer
C0083,Divya Reddy,Kochi,Kerala,Consumer
C0084,Riya Rao,Hyderabad,Telangana,Small Business
C0085,Divya Das,Ahmedabad,Gujarat,Small Business
C0086,Amit Rao,Kolkata,West Bengal,Consumer
C0087,Meera Iyer,Chandigarh,Chandigarh,Consumer
C0088,Amit Patel,Jaipur,Rajasthan,Corporate
C0089,Varun Sharma,Ahmedabad,Gujarat,Consumer
C0090,Meera Mehta,Chennai,Tamil Nadu,Consumer
C0091,Neha Patel,Mumbai,Maharashtra,Consumer
C0092,Aditya Mehta,Chennai,Tamil Nadu,Consumer
C0093,Kiran Mehta,Ahmedabad,Gujarat,Consumer
C0094,Vikram Bhat,Kochi,Kerala,Consumer
C0095,Priya Rao,Jaipur,Rajasthan,Corporate
C0096,Aditya Patel,Chandigarh,Chandigarh,Small Business
C0097,Arjun Verma,Chandigarh,Chandigarh,Consumer
C0098,Sneha Patel,Chandigarh,Chandigarh,Corporate
C0099,Isha Nair,Jaipur,Rajasthan,Small Business
C0100,Rohan Kumar,Bengaluru,Karnataka,Consumer
C0101,Ananya Sharma,Jaipur,Rajasthan,Consumer
C0102,Arjun Mehta,Kolkata,West Bengal,Corporate
C0103,Sneha Rao,Jaipur,Rajasthan,Corporate
C0104,Divya Iyer,Ahmedabad,Gujarat,Corporate
C0105,Isha Kumar,Bengaluru,Karnataka,Consumer
C0106,Sneha Verma,Chandigarh,Chandigarh,Small Business
C0107,Neha Patel,Ahmedabad,Gujarat,Consumer
C0108,Divya Gupta,Ahmedabad,Gujarat,Consumer
C0109,Kiran Rao,Lucknow,Uttar Pradesh,Corporate
C0110,Aditya Sharma,Delhi,Delhi,Consumer
C0111,Meera Patel,Bengaluru,Karnataka,Consumer
C0112,Vikram Sharma,Ahmedabad,Gujarat,Consumer
C0113,Varun Singh,Delhi,Delhi,Consumer
C0114,Priya Reddy,Delhi,Delhi,Consumer
C0115,Vikram Das,Bengaluru,Karnataka,Small Business
C0116,Vikram Nair,Lucknow,Uttar Pradesh,Consumer
C0117,Amit Verma,Chennai,Tamil Nadu,Corporate
C0118,Kiran Das,Kochi,Kerala,Corporate
C0119,Rahul Kumar,Kolkata,West Bengal,Small Business
C0120,Ananya Iyer,Kochi,Kerala,Consumer
C0121,Nikhil Das,Jaipur,Rajasthan,Small Business
C0122,Arjun Das,Chandigarh,Chandigarh,Consumer
C0123,Aarav Rao,Kolkata,West Bengal,Corporate
C0124,Priya Kapoor,Jaipur,Rajasthan,Corporate
C0125,Riya Reddy,Ahmedabad,Gujarat,Corporate
C0126,Rahul Nair,Chandigarh,Chandigarh,Consumer
C0127,Vikram Sharma,Mumbai,Maharashtra,Corporate
C0128,Aditya Verma,Bengaluru,Karnataka,Consumer
C0129,Ananya Mehta,Kolkata,West Bengal,Corporate
C0130,Ananya Singh,Kolkata,West Bengal,Small Business
C0131,Rohan Mehta,Ahmedabad,Gujarat,Consumer
C0132,Neha Sharma,Chennai,Tamil Nadu,Small Business
C0133,Aarav Mehta,Delhi,Delhi,Consumer
C0134,Vikram Das,Chandigarh,Chandigarh,Consumer
C0135,Isha Mehta,Ahmedabad,Gujarat,Consumer
C0136,Kiran Reddy,Pune,Maharashtra,Consumer
C0137,Rahul Patel,Lucknow,Uttar Pradesh,Corporate
C0138,Arjun Joshi,Delhi,Delhi,Consumer
C0139,Divya Reddy,Bengaluru,Karnataka,Consumer
C0140,Sneha Patel,Delhi,Delhi,Small Business
C0141,Divya Reddy,Chennai,Tamil Nadu,Corporate
C0142,Arjun Joshi,Delhi,Delhi,Corporate
C0143,Amit Gupta,Bengaluru,Karnataka,Small Business
C0144,Amit Rao,Chennai,Tamil Nadu,Corporate
C0145,Amit Kapoor,Kochi,Kerala,Consumer
C0146,Divya Bhat,Kolkata,West Bengal,Consumer
C0147,Pooja Das,Kolkata,West Bengal,Corporate
C0148,Varun Das,Lucknow,Uttar Pradesh,Consumer
C0149,Amit Iyer,Jaipur,Rajasthan,Corporate
C0150,Arjun Kumar,Kochi,Kerala,Consumer
C0151,Pooja Kumar,Kochi,Kerala,Consumer
C0152,Neha Mehta,Chandigarh,Chandigarh,Consumer
C0153,Kavya Mehta,Delhi,Delhi,Corporate
C0154,Divya Kapoor,Kolkata,West Bengal,Consumer
C0155,Rohan Gupta,Bengaluru,Karnataka,Corporate
C0156,Nikhil Rao,Hyderabad,Telangana,Consumer
C0157,Pooja Iyer,Hyderabad,Telangana,Consumer
C0158,Amit Iyer,Chennai,Tamil Nadu,Small Business
C0159,Kiran Bhat,Kolkata,West Bengal,Corporate
C0160,Nikhil Singh,Kolkata,West Bengal,Consumer
C0161,Kiran Mehta,Lucknow,Uttar Pradesh,Corporate
C0162,Varun Das,Hyderabad,Telangana,Consumer
C0163,Kavya Verma,Kolkata,West Bengal,Consumer
C0164,Kavya Kapoor,Lucknow,Uttar Pradesh,Consumer
C0165,Riya Iyer,Delhi,Delhi,Corporate
C0166,Rahul Patel,Pune,Maharashtra,Corporate
C0167,Isha Iyer,Chandigarh,Chandigarh,Consumer
C0168,Amit Bhat,Mumbai,Maharashtra,Small Business
C0169,Rahul Joshi,Kochi,Kerala,Consumer
C0170,Aditya Patel,Jaipur,Rajasthan,Consumer
C0171,Rahul Singh,Chennai,Tamil Nadu,Consumer
C0172,Vikram Das,Pune,Maharashtra,Consumer
C0173,Divya Iyer,Chandigarh,Chandigarh,Consumer
C0174,Nikhil Das,Chandigarh,Chandigarh,Corporate
C0175,Amit Nair,Chandigarh,Chandigarh,Corporate
C0176,Aditya Patel,Chandigarh,Chandigarh,Consumer
C0177,Aarav Gupta,Hyderabad,Telangana,Consumer
C0178,Isha Joshi,Lucknow,Uttar Pradesh,Consumer
C0179,Ananya Iyer,Kochi,Kerala,Consumer
C0180,Rahul Rao,Kolkata,West Bengal,Consumer
C0181,Ananya Bhat,Chandigarh,Chandigarh,Corporate
C0182,Aditya Gupta,Jaipur,Rajasthan,Consumer
C0183,Kavya Reddy,Kolkata,West Bengal,Corporate
C0184,Kiran Bhat,Bengaluru,Karnataka,Small Business
C0185,Riya Gupta,Bengaluru,Karnataka,Consumer
C0186,Amit Gupta,Jaipur,Rajasthan,Corporate
C0187,Divya Mehta,Lucknow,Uttar Pradesh,Consumer
C0188,Pooja Das,Jaipur,Rajasthan,Corporate
C0189,Divya Kapoor,Hyderabad,Telangana,Consumer
C0190,Isha Bhat,Jaipur,Rajasthan,Consumer
C0191,Kiran Nair,Delhi,Delhi,Consumer
C0192,Arjun Sharma,Kolkata,West Bengal,Consumer
C0193,Amit Reddy,Pune,Maharashtra,Consumer
C0194,Aditya Bhat,Ahmedabad,Gujarat,Consumer
C0195,Kavya Nair,Lucknow,Uttar Pradesh,Consumer
C0196,Kavya Bhat,Jaipur,Rajasthan,Small Business
C0197,Arjun Mehta,Chennai,Tamil Nadu,Corporate
C0198,Pooja Sharma,Bengaluru,Karnataka,Consumer
C0199,Meera Kapoor,Delhi,Delhi,Consumer
C0200,Rohan Kapoor,Kochi,Kerala,Small Business
C0201,Amit Mehta,Chandigarh,Chandigarh,Corporate
C0202,Priya Joshi,Ahmedabad,Gujarat,Corporate
C0203,Arjun Gupta,Lucknow,Uttar Pradesh,Consumer
C0204,Arjun Verma,Pune,Maharashtra,Consumer
C0205,Sneha Iyer,Ahmedabad,Gujarat,Consumer
C0206,Meera Das,Jaipur,Rajasthan,Consumer
C0207,Vikram Bhat,Hyderabad,Telangana,Corporate
C0208,Aditya Patel,Bengaluru,Karnataka,Corporate
C0209,Kiran Nair,Bengaluru,Karnataka,Corporate
C0210,Priya Verma,Kochi,Kerala,Small Business
C0211,Neha Nair,Hyderabad,Telangana,Corporate
C0212,Varun Gupta,Chandigarh,Chandigarh,Consumer
C0213,Meera Rao,Kolkata,West Bengal,Consumer
C0214,Vikram Patel,Mumbai,Maharashtra,Small Business
C0215,Rohan Sharma,Delhi,Delhi,Consumer
C0216,Rahul Das,Bengaluru,Karnataka,Small Business
C0217,Sneha Singh,Chennai,Tamil Nadu,Corporate
C0218,Arjun Kumar,Bengaluru,Karnataka,Consumer
C0219,Nikhil Iyer,Ahmedabad,Gujarat,Consumer
C0220,Amit Mehta,Bengaluru,Karnataka,Small Business
C0221,Rahul Nair,Lucknow,Uttar Pradesh,Consumer
C0222,Amit Gupta,Bengaluru,Karnataka,Small Business
C0223,Isha Reddy,Mumbai,Maharashtra,Small Business
C0224,Kavya Patel,Mumbai,Maharashtra,Consumer
C0225,Amit Das,Chandigarh,Chandigarh,Consumer
C0226,Rahul Reddy,Pune,Maharashtra,Small Business
C0227,Sneha Gupta,Kolkata,West Bengal,Corporate
C0228,Nikhil Mehta,Chennai,Tamil Nadu,Consumer
C0229,Rohan Nair,Bengaluru,Karnataka,Consumer
C0230,Meera Singh,Bengaluru,Karnataka,Consumer
C0231,Ananya Verma,Delhi,Delhi,Small Business
C0232,Rohan Das,Mumbai,Maharashtra,Corporate
C0233,Rahul Verma,Chennai,Tamil Nadu,Corporate
C0234,Rohan Reddy,Chandigarh,Chandigarh,Consumer
C0235,Ananya Joshi,Kochi,Kerala,Consumer
C0236,Isha Mehta,Pune,Maharashtra,Small Business
C0237,Nikhil Das,Kolkata,West Bengal,Consumer
C0238,Arjun Verma,Hyderabad,Telangana,Consumer
C0239,Ananya Das,Kolkata,West Bengal,Consumer
C0240,Nikhil Kumar,Lucknow,Uttar Pradesh,Corporate
C0241,Neha Verma,Ahmedabad,Gujarat,Small Business
C0242,Arjun Rao,Lucknow,Uttar Pradesh,Consumer
C0243,Kavya Kumar,Bengaluru,Karnataka,Consumer
C0244,Arjun Joshi,Pune,Maharashtra,Corporate
C0245,Pooja Gupta,Ahmedabad,Gujarat,Small Business
C0246,Arjun Gupta,Chennai,Tamil Nadu,Consumer
C0247,Amit Patel,Hyderabad,Telangana,Consumer
C0248,Neha Gupta,Mumbai,Maharashtra,Consumer
C0249,Varun Rao,Pune,Maharashtra,Small Business
C0250,Rahul Das,Pune,Maharashtra,Consumer
C0251,Neha Patel,Lucknow,Uttar Pradesh,Consumer
C0252,Neha Verma,Bengaluru,Karnataka,Corporate
C0253,Aditya Gupta,Jaipur,Rajasthan,Corporate
C0254,Aarav Kumar,Chandigarh,Chandigarh,Consumer
C0255,Varun Das,Lucknow,Uttar Pradesh,Small Business
C0256,Aarav Verma,Pune,Maharashtra,Consumer
C0257,Pooja Mehta,Delhi,Delhi,Consumer
C0258,Aditya Verma,Hyderabad,Telangana,Consumer
C0259,Aditya Mehta,Chandigarh,Chandigarh,Corporate
C0260,Isha Nair,Lucknow,Uttar Pradesh,Consumer
C0261,Sneha Joshi,Hyderabad,Telangana,Small Business
C0262,Kiran Singh,Delhi,Delhi,Corporate
C0263,Vikram Gupta,Kochi,Kerala,Corporate
C0264,Varun Kapoor,Delhi,Delhi,Corporate
C0265,Isha Rao,Delhi,Delhi,Corporate
C0266,Vikram Singh,Hyderabad,Telangana,Consumer
C0267,Kiran Kapoor,Kolkata,West Bengal,Consumer
C0268,Kavya Nair,Hyderabad,Telangana,Small Business
C0269,Ananya Bhat,Jaipur,Rajasthan,Consumer
C0270,Aditya Gupta,Bengaluru,Karnataka,Corporate
C0271,Divya Iyer,Ahmedabad,Gujarat,Small Business
C0272,Ananya Gupta,Kolkata,West Bengal,Consumer
C0273,Meera Verma,Mumbai,Maharashtra,Corporate
C0274,Amit Mehta,Ahmedabad,Gujarat,Consumer
C0275,Amit Das,Bengaluru,Karnataka,Consumer
C0276,Ananya Joshi,Lucknow,Uttar Pradesh,Consumer
C0277,Aditya Reddy,Chandigarh,Chandigarh,Consumer
C0278,Pooja Kumar,Jaipur,Rajasthan,Corporate
C0279,Varun Bhat,Jaipur,Rajasthan,Corporate
C0280,Kiran Rao,Mumbai,Maharashtra,Corporate
C0281,Rohan Patel,Kolkata,West Bengal,Consumer
C0282,Nikhil Bhat,Kochi,Kerala,Consumer
C0283,Arjun Gupta,Delhi,Delhi,Corporate
C0284,Priya Nair,Kolkata,West Bengal,Consumer
C0285,Priya Patel,Chandigarh,Chandigarh,Small Business
C0286,Priya Verma,Kochi,Kerala,Corporate
C0287,Amit Joshi,Jaipur,Rajasthan,Corporate
C0288,Amit Rao,Hyderabad,Telangana,Small Business
C0289,Aarav Kumar,Chandigarh,Chandigarh,Consumer
C0290,Kavya Patel,Bengaluru,Karnataka,Corporate
C0291,Meera Kapoor,Mumbai,Maharashtra,Consumer
C0292,Divya Nair,Bengaluru,Karnataka,Small Business
C0293,Rahul Nair,Chandigarh,Chandigarh,Consumer
C0294,Divya Iyer,Chennai,Tamil Nadu,Corporate
C0295,Vikram Sharma,Chennai,Tamil Nadu,Small Business
C0296,Sneha Kapoor,Lucknow,Uttar Pradesh,Consumer
C0297,Nikhil Reddy,Kolkata,West Bengal,Consumer
C0298,Vikram Rao,Jaipur,Rajasthan,Corporate
C0299,Ananya Bhat,Jaipur,Rajasthan,Consumer
C0300,Ananya Gupta,Delhi,Delhi,Consumer
C0301,Priya Sharma,Delhi,Delhi,Consumer
C0302,Rahul Gupta,Delhi,Delhi,Consumer
C0303,Rohan Iyer,Hyderabad,Telangana,Small Business
C0304,Nikhil Iyer,Ahmedabad,Gujarat,Consumer
C0305,Vikram Nair,Pune,Maharashtra,Consumer
C0306,Ananya Kapoor,Ahmedabad,Gujarat,Consumer
C0307,Meera Nair,Bengaluru,Karnataka,Consumer
C0308,Vikram Verma,Ahmedabad,Gujarat,Consumer
C0309,Rahul Sharma,Hyderabad,Telangana,Consumer
C0310,Divya Das,Lucknow,Uttar Pradesh,Consumer
C0311,Nikhil Singh,Bengaluru,Karnataka,Consumer
C0312,Riya Kumar,Ahmedabad,Gujarat,Corporate
C0313,Varun Mehta,Hyderabad,Telangana,Consumer
C0314,Arjun Reddy,Pune,Maharashtra,Corporate
C0315,Aarav Rao,Ahmedabad,Gujarat,Consumer
C0316,Sneha Kapoor,Hyderabad,Telangana,Consumer
C0317,Ananya Gupta,Delhi,Delhi,Corporate
C0318,Rahul Sharma,Jaipur,Rajasthan,Consumer
C0319,Divya Patel,Delhi,Delhi,Small Business
C0320,Nikhil Joshi,Jaipur,Rajasthan,Corporate
C0321,Pooja Verma,Mumbai,Maharashtra,Consumer
C0322,Neha Joshi,Mumbai,Maharashtra,Corporate
C0323,Meera Mehta,Mumbai,Maharashtra,Corporate
C0324,Amit Gupta,Pune,Maharashtra,Consumer
C0325,Neha Kapoor,Delhi,Delhi,Consumer
C0326,Meera Patel,Jaipur,Rajasthan,Consumer
C0327,Riya Iyer,Hyderabad,Telangana,Small Business
C0328,Rahul Gupta,Bengaluru,Karnataka,Corporate
C0329,Divya Singh,Hyderabad,Telangana,Small Business
C0330,Rahul Nair,Bengaluru,Karnataka,Corporate
C0331,Meera Kapoor,Chennai,Tamil Nadu,Consumer
C0332,Meera Iyer,Hyderabad,Telangana,Consumer
C0333,Amit Bhat,Ahmedabad,Gujarat,Corporate
C0334,Divya Nair,Ahmedabad,Gujarat,Corporate
C0335,Priya Mehta,Kolkata,West Bengal,Small Business
C0336,Sneha Mehta,Delhi,Delhi,Consumer
C0337,Ananya Das,Bengaluru,Karnataka,Consumer
C0338,Neha Verma,Bengaluru,Karnataka,Corporate
C0339,Aditya Sharma,Chandigarh,Chandigarh,Corporate
C0340,Neha Singh,Lucknow,Uttar Pradesh,Consumer
C0341,Kavya Bhat,Delhi,Delhi,Corporate
C0342,Kavya Bhat,Pune,Maharashtra,Consumer
C0343,Nikhil Kapoor,Kolkata,West Bengal,Corporate
C0344,Sneha Verma,Pune,Maharashtra,Corporate
C0345,Aditya Mehta,Pune,Maharashtra,Small Business
C0346,Aarav Joshi,Pune,Maharashtra,Corporate
C0347,Sneha Mehta,Delhi,Delhi,Consumer
C0348,Neha Verma,Pune,Maharashtra,Consumer
C0349,Varun Das,Ahmedabad,Gujarat,Small Business
C0350,Rohan Sharma,Lucknow,Uttar Pradesh,Consumer
C0351,Divya Mehta,Lucknow,Uttar Pradesh,Small Business
C0352,Meera Kapoor,Mumbai,Maharashtra,Consumer
C0353,Pooja Kumar,Chennai,Tamil Nadu,Corporate
C0354,Riya Sharma,Bengaluru,Karnataka,Corporate
C0355,Isha Das,Chandigarh,Chandigarh,Small Business
C0356,Kavya Joshi,Bengaluru,Karnataka,Consumer
C0357,Aarav Patel,Chennai,Tamil Nadu,Corporate
C0358,Aarav Sharma,Chandigarh,Chandigarh,Consumer
C0359,Rohan Gupta,Delhi,Delhi,Consumer
C0360,Aarav Gupta,Hyderabad,Telangana,Corporate
C0361,Riya Rao,Delhi,Delhi,Corporate
C0362,Kiran Patel,Bengaluru,Karnataka,Small Business
C0363,Sneha Iyer,Bengaluru,Karnataka,Consumer
C0364,Meera Rao,Chandigarh,Chandigarh,Consumer
C0365,Kavya Kapoor,Chandigarh,Chandigarh,Consumer
C0366,Ananya Rao,Chennai,Tamil Nadu,Consumer
C0367,Divya Sharma,Pune,Maharashtra,Consumer
C0368,Neha Verma,Delhi,Delhi,Corporate
C0369,Rahul Verma,Chandigarh,Chandigarh,Consumer
C0370,Sneha Mehta,Jaipur,Rajasthan,Small Business
C0371,Sneha Mehta,Chennai,Tamil Nadu,Small Business
C0372,Kiran Kapoor,Ahmedabad,Gujarat,Corporate
C0373,Rohan Patel,Bengaluru,Karnataka,Small Business
C0374,Divya Das,Chennai,Tamil Nadu,Corporate
C0375,Neha Patel,Delhi,Delhi,Consumer
C0376,Riya Bhat,Chandigarh,Chandigarh,Consumer
C0377,Nikhil Verma,Bengaluru,Karnataka,Consumer
C0378,Kiran Verma,Hyderabad,Telangana,Consumer
C0379,Riya Nair,Chennai,Tamil Nadu,Small Business
C0380,Sneha Rao,Kolkata,West Bengal,Consumer
C0381,Rahul Kapoor,Bengaluru,Karnataka,Small Business
C0382,Rohan Joshi,Delhi,Delhi,Corporate
C0383,Isha Bhat,Mumbai,Maharashtra,Consumer
C0384,Vikram Patel,Jaipur,Rajasthan,Small Business
C0385,Divya Iyer,Kochi,Kerala,Consumer
C0386,Divya Gupta,Pune,Maharashtra,Consumer
C0387,Aditya Reddy,Kochi,Kerala,Corporate
C0388,Varun Iyer,Delhi,Delhi,Consumer
C0389,Meera Nair,Ahmedabad,Gujarat,Corporate
C0390,Aditya Das,Ahmedabad,Gujarat,Consumer
C0391,Varun Joshi,Mumbai,Maharashtra,Consumer
C0392,Kavya Kumar,Pune,Maharashtra,Small Business
C0393,Kavya Reddy,Kolkata,West Bengal,Consumer
C0394,Arjun Das,Mumbai,Maharashtra,Consumer
C0395,Rohan Verma,Lucknow,Uttar Pradesh,Consumer
C0396,Rahul Joshi,Kochi,Kerala,Small Business
C0397,Isha Reddy,Mumbai,Maharashtra,Consumer
C0398,Rahul Gupta,Kochi,Kerala,Consumer
C0399,Nikhil Sharma,Bengaluru,Karnataka,Consumer
C0400,Kiran Joshi,Ahmedabad,Gujarat,Consumer
C0401,Amit Bhat,Bengaluru,Karnataka,Corporate
C0402,Riya Singh,Jaipur,Rajasthan,Corporate
C0403,Priya Joshi,Lucknow,Uttar Pradesh,Consumer
C0404,Divya Bhat,Pune,Maharashtra,Corporate
C0405,Riya Joshi,Kolkata,West Bengal,Consumer
C0406,Kavya Sharma,Kochi,Kerala,Small Business
C0407,Varun Mehta,Kolkata,West Bengal,Small Business
C0408,Priya Rao,Kochi,Kerala,Consumer
C0409,Ananya Nair,Delhi,Delhi,Small Business
C0410,Ananya Kapoor,Mumbai,Maharashtra,Corporate
C0411,Ananya Nair,Jaipur,Rajasthan,Consumer
C0412,Sneha Iyer,Ahmedabad,Gujarat,Consumer
C0413,Isha Reddy,Chandigarh,Chandigarh,Consumer
C0414,Varun Rao,Kochi,Kerala,Corporate
C0415,Divya Reddy,Kolkata,West Bengal,Small Business
C0416,Aditya Patel,Jaipur,Rajasthan,Corporate
C0417,Neha Singh,Hyderabad,Telangana,Small Business
C0418,Nikhil Sharma,Hyderabad,Telangana,Corporate
C0419,Rahul Rao,Bengaluru,Karnataka,Corporate
C0420,Neha Nair,Ahmedabad,Gujarat,Corporate
C0421,Pooja Bhat,Chandigarh,Chandigarh,Consumer
C0422,Isha Joshi,Delhi,Delhi,Consumer
C0423,Meera Bhat,Kolkata,West Bengal,Corporate
C0424,Ananya Iyer,Chandigarh,Chandigarh,Consumer
C0425,Arjun Singh,Mumbai,Maharashtra,Corporate
C0426,Sneha Gupta,Mumbai,Maharashtra,Consumer
C0427,Rohan Bhat,Kolkata,West Bengal,Consumer
C0428,Nikhil Bhat,Pune,Maharashtra,Corporate
C0429,Kiran Mehta,Delhi,Delhi,Consumer
C0430,Riya Patel,Jaipur,Rajasthan,Consumer
C0431,Kiran Kumar,Kochi,Kerala,Consumer
C0432,Amit Verma,Pune,Maharashtra,Small Business
C0433,Ananya Reddy,Kochi,Kerala,Consumer
C0434,Arjun Singh,Kochi,Kerala,Small Business
C0435,Aarav Das,Pune,Maharashtra,Consumer
C0436,Divya Das,Bengaluru,Karnataka,Small Business
C0437,Priya Gupta,Hyderabad,Telangana,Small Business
C0438,Nikhil Kapoor,Kochi,Kerala,Consumer
C0439,Vikram Rao,Pune,Maharashtra,Consumer
C0440,Rahul Kumar,Pune,Maharashtra,Consumer
C0441,Meera Rao,Lucknow,Uttar Pradesh,Corporate
C0442,Isha Joshi,Chandigarh,Chandigarh,Consumer
C0443,Rohan Sharma,Chennai,Tamil Nadu,Consumer
C0444,Arjun Nair,Bengaluru,Karnataka,Consumer
C0445,Neha Verma,Ahmedabad,Gujarat,Consumer
C0446,Divya Sharma,Chennai,Tamil Nadu,Consumer
C0447,Riya Joshi,Chandigarh,Chandigarh,Corporate
C0448,Vikram Singh,Chandigarh,Chandigarh,Small Business
C0449,Nikhil Singh,Chandigarh,Chandigarh,Consumer
C0450,Divya Singh,Chennai,Tamil Nadu,Consumer
C0451,Amit Sharma,Kolkata,West Bengal,Consumer
C0452,Divya Das,Hyderabad,Telangana,Corporate
C0453,Nikhil Kapoor,Pune,Maharashtra,Small Business
C0454,Sneha Joshi,Hyderabad,Telangana,Small Business
C0455,Riya Patel,Delhi,Delhi,Small Business
C0456,Meera Patel,Kolkata,West Bengal,Consumer
C0457,Rohan Kapoor,Ahmedabad,Gujarat,Corporate
C0458,Arjun Nair,Hyderabad,Telangana,Corporate
C0459,Aarav Iyer,Mumbai,Maharashtra,Consumer
C0460,Rahul Kumar,Chandigarh,Chandigarh,Small Business
C0461,Arjun Singh,Kochi,Kerala,Consumer
C0462,Arjun Sharma,Delhi,Delhi,Corporate
C0463,Amit Reddy,Bengaluru,Karnataka,Consumer
C0464,Meera Joshi,Ahmedabad,Gujarat,Consumer
C0465,Isha Nair,Delhi,Delhi,Corporate
C0466,Kavya Das,Chandigarh,Chandigarh,Consumer
C0467,Vikram Bhat,Kochi,Kerala,Consumer
C0468,Ananya Mehta,Kolkata,West Bengal,Consumer
